,,MESURES DE CENTRALITÉ,,,,,,,,,,,,
Casanova,E.,1,1028,21,575,21,627,0.336,2738,0,1028,0.007,2246,
Casimir,R.,1,1029,5,1407,5,1424,0.413,1129,0,1029,0.041,814,
Cassin,Rene,1,1030,11,897,11,926,0.364,2357,0,1030,0.015,1755,
Castello Branco Clark,M. F. de,1,1031,5,1408,5,1425,0.434,701,0,1031,0.028,1429,
Castillo,Jesus,1,1032,1,2457,1,2459,0.353,2498,0,1032,0.004,2536,
Castrilli,Vincenzo,1,1033,70,129,70,174,0.457,428,0,1033,0.15,116,
Castro,Rafael V.,1,1034,19,641,19,687,0.414,1036,0,1034,0.042,704,
Castro Ramirez,Manuel,1,1035,6,1238,6,1260,0.42,924,0,1035,0.02,1582,
Catargi,A.,1,1036,1,2458,1,2460,0.399,1819,0,1036,0.009,2083,
Catchpole,G. P.,1,1037,16,724,16,765,0.377,2158,0,1037,0.021,1565,
Cauchery,,1,1038,1,2459,1,2461,0.353,2499,0,1038,0.004,2537,
Cavalier,,1,1039,5,1409,5,1426,0.413,1130,0,1039,0.041,815,
Cawadias,Alexandre,1,1040,16,725,16,766,0.414,1037,0,1040,0.023,1519,
Cecil,Robert,1,1041,14,802,14,831,0.397,1927,0,1041,0.022,1545,
Cernik,Berthold,1,1042,3,2048,3,2059,0.402,1722,0,1042,0.011,1924,
Chagas,Carlos,1,1043,21,576,21,628,0.336,2739,0,1043,0.007,2247,
Chakravorti,J. C.,1,1044,4,1929,4,1946,0.39,2080,0,1044,0.013,1850,
Chalmers Mitchell,,1,1045,26,492,27,508,0.419,944,36.3,559,0.062,441,
Chalpovski,,1,1046,5,1410,5,1427,0.413,1131,0,1045,0.041,816,
Chalupny,E.,1,1047,27,457,27,509,0.429,774,0,1046,0.031,1376,
Chamberlain,C. W.,1,1048,2,2205,2,2219,0.411,1609,0,1047,0.014,1790,
Champod,M.,1,1049,4,1930,4,1947,0.352,2669,0,1048,0.004,2538,
Chapman,H.,1,1050,2,2206,2,2220,0.382,2126,0,1049,0.009,2084,
Chaponniere-Chaix,,1,1051,10,950,10,979,0.394,1968,0,1050,0.014,1791,
Chapoutot,,1,1052,5,1411,5,1428,0.413,1132,0,1051,0.041,817,
Chappedelaine,Louis de,1,1053,9,992,9,1022,0.457,429,0,1052,0.029,1415,
Charles-Henry,,1,1054,5,1412,5,1429,0.413,1133,0,1053,0.041,818,
Charlety,,1,1055,5,1413,5,1430,0.413,1134,0,1054,0.041,819,
Charlton,Matthew,1,1056,4,1931,4,1948,0.384,2114,0,1055,0.011,1925,
Charpentier,Rene,1,1057,5,1414,5,1431,0.413,1135,0,1056,0.041,820,
Charvilhat,,1,1058,1,2460,1,2462,0.353,2500,0,1057,0.004,2539,
Chatin,A.,1,1059,1,2461,1,2463,0.374,2221,0,1058,0.006,2313,
Chatterjea,Ramananda,1,1060,5,1415,5,1432,0.413,1136,0,1059,0.041,821,
Chaumet,Henri,1,1061,5,1416,5,1433,0.413,1137,0,1060,0.041,822,
Chauvet,,1,1062,1,2462,1,2464,0.353,2501,0,1061,0.004,2540,
Chenevard-deMorsier,V.,1,1063,13,826,13,861,0.424,860,0,1063,0.024,1497,
Cherrett,F.,1,1064,2,2207,2,2221,0.375,2193,0,1064,0.006,2314,
Chichmanoff,Iv.,1,1065,1,2463,1,2465,0.374,2222,0,1065,0.006,2315,
Chimszans,,1,1066,1,2464,1,2466,0.36,2406,0,1066,0.005,2413,
Choisy,Frank,1,1067,1,2465,1,2467,0.399,1820,0,1068,0.009,2085,
Choulguine,A.,1,1068,1,2466,1,2468,0.353,2502,0,1069,0.004,2541,
Chuard,Ernest,1,1069,4,1932,4,1949,0.377,2159,0,1070,0.008,2210,
Chybinski,Adolph,1,1070,4,1933,4,1950,0.416,1015,8,626,0.017,1694,
Ciermak,,1,1071,1,2467,1,2469,0.353,2503,0,1071,0.004,2542,
Ciraolo,,1,1072,16,726,16,767,0.434,703,0,1072,0.036,1307,
Clara,,1,1073,5,1417,5,1434,0.413,1138,0,1073,0.041,823,
Clarke,C. S.,1,1074,1,2468,1,2470,0.353,2504,0,1074,0.004,2543,
Claudel,P.,1,1075,5,1418,5,1435,0.413,1139,0,1075,0.041,824,
Clavier,Jean,1,1076,4,1934,4,1951,0.42,925,0,1076,0.018,1634,
Cleland,W. H.,1,1077,9,993,9,1023,0.373,2257,0,1077,0.009,2086,
Clemons,Harry,1,1078,40,298,40,349,0.421,888,0,1079,0.042,705,
Close,Charles,1,1079,5,1419,5,1436,0.413,1140,0,1080,0.041,825,
Clough,Shepard B.,1,1080,5,1420,5,1437,0.413,1141,0,1081,0.041,826,
Clouzot,,1,1081,1,2469,1,2471,0.353,2505,0,1082,0.004,2544,
Coats,R. H.,1,1082,70,130,70,175,0.457,430,0,1083,0.15,117,
Coca,,1,1083,5,1421,5,1438,0.413,1142,0,1084,0.041,827,
Cody,Henry John,1,1084,5,1422,5,1439,0.402,1724,0,1085,0.017,1695,
Coelho de Sousa,,1,1085,12,860,12,894,0.376,2174,0,1086,0.011,1926,
Cohen,J.,1,1086,12,861,12,895,0.433,728,0,1087,0.036,1309,
Collins,Jos. V.,1,1087,6,1239,6,1261,0.383,2118,0,1089,0.01,1986,
Colson,,1,1088,70,131,70,176,0.457,431,0,1090,0.15,118,
Comfort,Benj. F.,1,1089,9,994,9,1025,0.42,926,0,1091,0.02,1584,
Commert,,1,1090,2,2208,2,2222,0.399,1821,0,1092,0.01,1987,
Concha,Victor,1,1091,28,434,28,478,0.434,704,0,1093,0.044,643,
Confida,,1,1092,5,1423,5,1441,0.413,1143,0,1094,0.041,828,
Conner,Benjamin,1,1093,1,2470,1,2472,0.322,2796,0,1095,0.001,2804,
Conolly,Violet,1,1094,5,1424,5,1442,0.413,1144,0,1096,0.041,829,
Constantinides,E.,1,1095,1,2471,1,2473,0.399,1822,0,1097,0.009,2088,
Conwentz,,1,1096,19,643,19,688,0.396,1935,0,1098,0.018,1635,
Cooper,R. F.,1,1097,5,1425,5,1443,0.413,1145,0,1099,0.041,830,
Corbin,William L.,1,1098,5,1426,5,1444,0.413,1146,0,1100,0.041,831,
Cordeaux,Paul,1,1099,5,1427,5,1445,0.413,1147,0,1101,0.041,832,
Cornejo,Mariano H.,1,1100,70,132,70,177,0.457,432,0,1102,0.15,119,
Cornelius,Charles,1,1101,6,1240,6,1262,0.454,488,0,1103,0.027,1455,
Corporaal,J. B.,1,1102,5,1428,5,1446,0.413,1148,0,1104,0.041,833,
Cortesao,Jaime,1,1103,40,300,40,350,0.421,889,0,1105,0.042,706,
Cosserat,E.,1,1104,3,2050,3,2061,0.401,1754,0,1106,0.013,1852,
Costa du Rels,,1,1105,2,2209,2,2223,0.387,2099,0,1107,0.008,2211,
Coudenhove-Kalergi,,1,1106,5,1429,5,1447,0.413,1149,0,1109,0.041,834,
Coulea,A.,1,1107,5,1430,5,1448,0.413,1150,0,1110,0.041,835,
Courriere,Paul H.,1,1108,41,272,41,326,0.441,631,0,1111,0.07,381,
Courteault,P.,1,1109,6,1243,6,1264,0.426,824,0,1112,0.045,615,
Cousins,James H.,1,1110,1,2472,1,2474,0.399,1823,0,1113,0.009,2089,
Couturier,,1,1111,5,1431,5,1449,0.413,1151,0,1114,0.041,836,
Craig,,1,1112,5,1432,5,1450,0.413,1152,0,1115,0.041,837,
Craig,Martha,1,1113,1,2473,1,2475,0.36,2407,0,1116,0.005,2414,
Craigie,R. L.,1,1114,12,862,12,896,0.376,2175,0,1117,0.011,1927,
Cramer,,1,1115,1,2474,1,2476,0.399,1824,0,1118,0.009,2090,
Crawford,,1,1116,2,2210,2,2224,0.399,1825,0,1119,0.009,2091,
Cremieux,A.,1,1117,5,1433,5,1451,0.413,1153,0,1121,0.041,838,
Cremieux,Benjamin,1,1118,5,1434,5,1452,0.413,1154,0,1122,0.041,839,
Cremieux,A.,1,1119,4,1936,4,1952,0.453,494,0,1120,0.023,1520,
Cremieux,,1,1120,16,728,16,768,0.377,2160,0,1123,0.021,1566,
Croix,de la,1,1121,6,1244,7,1169,0.416,1017,0,1124,0.043,671,
Crompton,T.,1,1122,21,578,21,630,0.405,1680,0,1125,0.028,1430,
Cronan,T.,1,1123,5,1435,5,1453,0.413,1155,0,1127,0.041,840,
Cronk,V.,1,1124,1,2475,1,2477,0.36,2408,0,1128,0.005,2415,
Crue,F. de,1,1125,7,1137,7,1171,0.42,927,0,1129,0.02,1586,
Crump Enderson,Elizabeth,1,1126,40,301,40,351,0.421,890,0,1130,0.042,707,
Csaszar,Klemir,1,1127,28,437,28,479,0.434,705,0,1131,0.044,644,
Cseskey,Etienne de,1,1128,2,2211,2,2225,0.411,1610,0,1132,0.014,1793,
Cummings,H. S.,1,1129,21,579,21,631,0.336,2741,0,1133,0.007,2249,
Cundall,Frank,1,1130,1,2476,1,2478,0.319,2825,0,1134,0.001,2805,
Cunha,M. G. da,1,1131,5,1436,5,1454,0.395,1954,0,1135,0.015,1756,
Cunningham,J.,1,1132,3,2052,3,2063,0.392,2017,0,1136,0.01,1989,
Cuperus,S. M.,1,1133,5,1437,5,1455,0.413,1156,0,1137,0.041,841,
Curlis,Hans,1,1134,41,273,41,327,0.441,632,0,1138,0.07,382,
Curtis,H. ,1,1135,1,2477,1,2479,0.374,2224,0,1139,0.006,2316,
Curtis,L. ,1,1136,2,2212,2,2226,0.284,2857,0,1140,0,2854,
Cvijic,Jovan,1,1137,8,1047,8,1080,0.418,983,0,1141,0.02,1587,
Czekalski,Joseph,1,1138,5,1438,5,1456,0.413,1157,0,1142,0.041,842,
Czerny,S.,1,1139,5,1439,5,1457,0.413,1158,0,1143,0.041,843,
Czudalski,F.,1,1140,3,2053,3,2064,0.392,2018,0,1144,0.01,1990,
Dafert,,1,1141,3,2054,3,2065,0.392,2019,0,1145,0.01,1991,
Dakhov,I. Z.,1,1142,5,1440,5,1458,0.413,1159,0,1146,0.041,844,
Dalma,B.,1,1143,5,1441,5,1459,0.413,1160,0,1147,0.041,845,
Dalton,,1,1144,1,2478,1,2480,0.353,2506,0,1148,0.004,2545,
Dandurand,Roual,1,1145,2,2213,2,2227,0.325,2786,0,1149,0.001,2806,
Danger,Rene,1,1146,5,1442,5,1460,0.413,1161,0,1150,0.041,846,
Dankwort,,1,1147,3,2055,3,2066,0.371,2281,0,1151,0.008,2212,
Dausset,,1,1148,5,1443,5,1461,0.413,1162,0,1152,0.041,847,
David,Henri,1,1149,5,1444,5,1462,0.413,1163,0,1153,0.041,848,
David-Neel,Alexandra,1,1150,5,1445,5,1463,0.413,1164,0,1154,0.041,849,
Davifon,Jacques,1,1151,5,1446,5,1464,0.413,1165,0,1155,0.041,850,
Davis ,,1,1152,1,2479,1,2481,0.374,2225,0,1156,0.006,2317,
Daxhelet,Eug.,1,1153,3,2056,3,2067,0.394,1970,0,1157,0.012,1885,
Debrue,Rose,1,1154,5,1447,5,1465,0.413,1166,0,1158,0.041,851,
Debye,Pierre J. W.,1,1155,18,673,18,723,0.446,583,0,1159,0.054,521,
Decenciere,A.,1,1156,5,1448,5,1466,0.413,1167,0,1160,0.041,852,
Deerley,Homer H.,1,1157,1,2480,1,2482,0.36,2409,0,1162,0.005,2416,
Defries,Amelia,1,1158,5,1449,5,1467,0.413,1168,0,1163,0.041,853,
Degen,Max,1,1159,5,1450,5,1468,0.413,1169,0,1164,0.041,854,
Degobart,H.,1,1160,5,1451,5,1469,0.413,1170,0,1165,0.041,855,
Degollada,J.,1,1161,3,2057,3,2069,0.392,2020,0,1166,0.011,1929,
Dehorne,L.,1,1162,3,2058,3,2070,0.392,2021,0,1167,0.01,1992,
Delafosse,,1,1163,3,2059,3,2071,0.392,2022,0,1168,0.01,1993,
Delatour,,1,1164,70,133,70,178,0.457,433,0,1169,0.15,120,
Delbeau,Victor,1,1165,40,302,40,352,0.421,891,0,1170,0.042,708,
Delen,Ary,1,1166,1,2481,1,2483,0.353,2507,0,1171,0.004,2546,
Demarcy,L.,1,1167,9,995,9,1027,0.411,1611,0,1172,0.023,1521,
Demmler,,1,1168,20,621,20,675,0.456,467,0,1173,0.041,856,
Depage,A.,1,1169,4,1937,4,1953,0.34,2730,0,1174,0.004,2547,
Depasse,,1,1170,41,274,41,329,0.441,633,0,1175,0.07,383,
Derie,Louis,1,1171,5,1452,5,1470,0.413,1171,0,1176,0.041,858,
Descamps,,1,1172,6,1246,6,1265,0.373,2259,0,1177,0.01,1995,
Devinat,Paul,1,1173,1,2482,1,2484,0.322,2797,0,1178,0.001,2807,
Devlin,William,1,1174,8,1049,8,1082,0.426,825,0,1179,0.022,1550,
Dezarrois,Andre,1,1175,2,2215,2,2228,0.44,656,0,1180,0.019,1614,
Diaz Yrizar,Mario,1,1176,2,2216,2,2229,0.392,2023,0,1182,0.011,1930,
Dickson,A. M.,1,1177,5,1453,5,1472,0.413,1172,0,1183,0.041,859,
Diemer,W. G.,1,1178,5,1454,5,1473,0.413,1173,0,1184,0.041,860,
Djghika,,1,1179,2,2217,2,2230,0.37,2296,0,1186,0.006,2318,
Doegen,Wilhelm,1,1180,5,1455,5,1474,0.413,1174,0,1187,0.041,861,
Dohna,Freda Marie Grefin zu,1,1181,7,1139,7,1172,0.448,545,3.1,653,0.051,551,
Doktorowicz,Henri,1,1182,7,1140,7,1173,0.419,945,0,1188,0.017,1696,
Dolling,H. W.,1,1183,5,1456,5,1475,0.413,1175,0,1189,0.041,862,
Dons,Herman,1,1184,5,1457,5,1476,0.413,1176,0,1190,0.041,863,
Dorner,Otto,1,1185,5,1458,5,1477,0.413,1177,0,1191,0.041,864,
Dorr,E. C. van,1,1186,1,2483,1,2485,0.322,2798,0,1192,0.001,2808,
Dos Santos,Getulio,1,1187,2,2218,2,2231,0.293,2853,0,1193,0.001,2809,
Douglas Laurie,R.,1,1188,2,2220,2,2233,0.404,1699,0,1195,0.013,1853,
Drennan,R.,1,1189,3,2062,3,2074,0.392,2024,0,1196,0.008,2213,
Dressler,Willy O.,1,1190,17,698,19,690,0.417,1007,11,618,0.06,459,
Dreyfuss,,1,1191,2,2221,2,2234,0.377,2161,0,1197,0.008,2214,
Driesler,,1,1192,2,2222,2,2235,0.375,2194,0,1198,0.006,2319,
Drouhet,Charles,1,1193,1,2484,1,2486,0.399,1826,0,1199,0.009,2092,
Drummond,H. A.,1,1194,21,580,21,632,0.405,1681,0,1200,0.028,1432,
Drygalski,Fritz von,1,1195,19,645,19,691,0.396,1936,0,1202,0.018,1637,
Dubois,Leopold,1,1196,5,1459,5,1478,0.359,2442,0,1203,0.007,2252,
Dubost,Jeanne,1,1197,2,2223,2,2236,0.376,2176,0,1204,0.007,2253,
Dubuisson,Maurice,1,1198,8,1051,8,1083,0.402,1727,0,1205,0.018,1638,
Duchemin,J. L.,1,1199,5,1460,5,1479,0.413,1178,0,1206,0.041,865,
Ducos,,1,1200,5,1461,5,1480,0.413,1179,0,1207,0.041,866,
Dufour,Pierre Th.,1,1201,30,408,30,458,0.44,657,0,1208,0.077,336,
Dufour,Alf.,1,1202,1,2485,1,2487,0.353,2508,0,1209,0.004,2548,
Duggan,Mary Alice,1,1203,4,1940,4,1955,0.402,1728,0,1210,0.012,1886,
Duhamel,Georges,1,1204,7,1141,7,1174,0.408,1647,0,1211,0.018,1639,
Duivendak,,1,1205,1,2486,1,2488,0.399,1827,0,1212,0.009,2093,
Dujardin,Edouard,1,1206,5,1462,5,1481,0.413,1180,0,1213,0.041,867,
Dumas ,Louis,1,1207,2,2224,2,2237,0.335,2757,0,1214,0.003,2729,
Dumba,C.,1,1208,7,1142,7,1175,0.466,302,0,1215,0.032,1360,
Dunham,Marcia O.,1,1209,14,803,14,834,0.393,1985,0,1216,0.017,1697,
Dunin-Karwicki,Stanislaw,1,1210,1,2487,1,2489,0.353,2509,0,1217,0.004,2549,
Dunoyer,L.,1,1211,5,1463,5,1482,0.413,1181,0,1218,0.041,868,
Dupasquier,A.,1,1212,1,2488,1,2490,0.399,1828,0,1219,0.009,2094,
Dupuy,,1,1213,15,766,16,770,0.467,295,22.3,587,0.066,410,
Dupuy de Lome,,1,1214,5,1464,5,1483,0.413,1182,0,1220,0.041,869,
Duquesne,,1,1215,5,1465,5,1484,0.413,1183,0,1221,0.041,870,
Durand-Reville,,1,1216,2,2225,2,2238,0.377,2162,0,1222,0.007,2254,
Duyvendak,J.,1,1217,1,2489,1,2491,0.399,1829,0,1223,0.009,2095,
Dvoracek,J.,1,1218,15,767,15,804,0.444,603,0,1224,0.034,1334,
Dyson,Frank,1,1219,5,1466,5,1485,0.413,1184,0,1225,0.041,871,
Ebel,Grete,1,1220,14,804,14,835,0.393,1986,0,1226,0.017,1698,
Ebert,O. E.,1,1221,5,1467,5,1486,0.413,1185,0,1227,0.041,872,
Efno-Koskinen,A.,1,1222,1,2490,1,2492,0.369,2329,0,1229,0.005,2417,
Efremoff,Jean,1,1223,7,1143,7,1176,0.412,1599,0,1230,0.019,1616,
Efron,,1,1224,5,1469,5,1487,0.413,1186,0,1231,0.041,873,
Egbert,W.,1,1225,9,996,9,1029,0.373,2260,0,1232,0.009,2096,
Eggertz,,1,1226,5,1470,5,1488,0.413,1187,0,1233,0.041,874,
Ehrard,,1,1227,3,2063,3,2075,0.376,2177,0,1234,0.007,2255,
Ehrenberg,Hans,1,1228,5,1471,5,1489,0.413,1188,0,1235,0.041,875,
Ehrenfels,,1,1229,16,729,16,771,0.434,706,0,1236,0.036,1311,
Ehrentfest,P.,1,1230,5,1472,5,1490,0.413,1189,0,1237,0.041,876,
Ehrler,A.,1,1231,1,2491,1,2493,0.399,1830,0,1238,0.009,2097,
Einaudi,Luigi,1,1232,19,646,19,692,0.463,346,0,1239,0.049,572,
Eisenmann,Louis,1,1233,5,1473,5,1491,0.413,1190,0,1240,0.041,877,
Elbel,Paul,1,1234,40,303,40,353,0.433,729,0,1241,0.075,346,
Eliasberg,W.,1,1235,7,1144,8,1084,0.413,1191,0,1242,0.043,672,
Elisseef,Serge,1,1236,22,550,22,601,0.421,892,204.6,410,0.042,709,
Ellefsen,,1,1237,40,304,40,354,0.421,893,0,1243,0.042,710,
Ellis,Don Carlos,1,1238,1,2492,1,2494,0.399,1831,0,1245,0.009,2098,
Eloesser,,1,1239,5,1474,5,1493,0.413,1192,0,1246,0.041,878,
Emmons,W. H.,1,1240,18,674,18,724,0.409,1635,0,1247,0.04,1278,
Enckell,,1,1241,5,1475,5,1494,0.413,1193,0,1248,0.041,879,
Enios,,1,1242,3,2065,3,2076,0.392,2025,0,1249,0.01,1997,
Ensor,,1,1243,5,1476,5,1495,0.352,2670,0,1250,0.006,2321,
Epstein,F.,1,1244,7,1145,7,1177,0.455,480,0,1251,0.03,1403,
Erdberg,,1,1245,5,1477,5,1496,0.413,1194,0,1252,0.041,880,
Erich,Rafael,1,1246,1,2493,1,2495,0.342,2728,0,1253,0.002,2763,
Erixon,Sigurd,1,1247,1,2494,1,2496,0.353,2510,0,1254,0.004,2550,
Ernst,Julius,1,1248,5,1478,5,1497,0.413,1195,0,1255,0.041,881,
Escaille,B. de l',1,1249,3,2066,3,2077,0.37,2299,0,1256,0.006,2322,
Esdaile,Arundel,1,1250,5,1479,5,1498,0.413,1196,0,1257,0.041,882,
Esnault-Pelterie,,1,1251,1,2495,1,2497,0.322,2799,0,1258,0.001,2810,
Espezol,d',1,1252,5,1480,5,1499,0.413,1197,0,1259,0.041,883,
Essen,Van,1,1253,5,1481,5,1500,0.413,1198,0,1260,0.041,884,
Estelrich,Joan,1,1254,12,864,13,863,0.458,408,0.8,682,0.067,408,
Estrada,Genaro,1,1255,1,2496,1,2498,0.353,2511,0,1261,0.004,2551,
Esty,Frances F.,1,1256,1,2497,1,2499,0.399,1832,0,1262,0.009,2100,
Etten,H. van,1,1257,5,1482,5,1501,0.413,1199,0,1264,0.041,885,
Etzensperger,Clara,1,1258,7,1146,7,1179,0.401,1755,0,1265,0.014,1794,
Everdingen,van,1,1259,5,1483,5,1502,0.413,1200,0,1266,0.041,886,
Evrard,Raymond,1,1260,1,2498,1,2500,0.322,2800,0,1267,0.001,2811,
Exner,Wilhelm,1,1261,1,2499,1,2501,0.322,2801,0,1268,0.001,2812,
Eybye,,1,1262,3,2068,3,2078,0.376,2179,0,1269,0.007,2256,
Fabre,,1,1263,5,1484,5,1503,0.413,1201,0,1270,0.041,887,
Fackenthal,Frank D.,1,1264,5,1485,5,1504,0.421,894,0,1271,0.019,1617,
Fago,Vincenzo,1,1265,12,865,13,864,0.448,546,0.6,683,0.062,444,
Fairbanks,Arthur,1,1266,1,2500,1,2502,0.353,2512,0,1272,0.004,2552,
Fairfax-Lucy,Henry,1,1267,1,2501,1,2503,0.352,2671,0,1273,0.003,2730,
Fakhry Pacha,,1,1268,13,828,13,865,0.349,2697,0,1274,0.014,1795,
Falke,Von,1,1269,1,2502,1,2504,0.353,2513,0,1275,0.004,2553,
Falkenberg,Heinrich,1,1270,26,495,26,543,0.356,2449,0,1276,0.024,1500,
Falticeni,de,1,1271,41,276,41,330,0.441,634,0,1277,0.07,384,
Farrell,W. J. H.,1,1272,1,2503,1,2505,0.369,2330,0,1278,0.005,2418,
Fatio,Guillaume,1,1273,8,1052,8,1085,0.412,1600,0,1279,0.02,1589,
Fauchille,Paul,1,1274,3,2069,3,2079,0.336,2742,0,1280,0.003,2731,
Favre,Andre,1,1275,1,2504,1,2506,0.322,2802,0,1281,0.001,2813,
Fayad,Elias Bey,1,1276,7,1147,8,1086,0.436,686,0,1282,0.049,573,
Fazl-i-Hussain,Aboul,1,1277,7,1148,7,1180,0.446,584,0,1283,0.053,534,
Fedde,,1,1278,22,551,22,602,0.406,1667,0,1284,0.029,1416,
Fehr,Henri,1,1279,5,1486,5,1505,0.413,1202,0,1285,0.041,888,
Feigenberg,D.,1,1280,1,2505,1,2507,0.352,2672,0,1286,0.003,2732,
Feihl,E.,1,1281,5,1487,5,1506,0.413,1203,0,1287,0.041,889,
Feldmans,Jelijs,1,1282,50,209,50,255,0.472,240,0,1288,0.12,179,
Feo,Luciano de,1,1283,41,277,41,331,0.441,635,0,1289,0.07,385,
Ferenczi,Imre,1,1284,8,1053,8,1087,0.428,800,0,1290,0.028,1433,
Fermor,L. L.,1,1285,2,2227,2,2239,0.4,1781,0,1291,0.011,1931,
Fern Andrews,Fanny,1,1286,7,1149,7,1181,0.419,947,1.7,673,0.045,616,
Ferrand,Gabrielle,1,1287,5,1488,5,1507,0.413,1204,0,1292,0.041,890,
Ferraris,Maggiorino,1,1288,2,2228,2,2240,0.37,2300,0,1293,0.006,2325,
Ferreira,,1,1289,2,2229,2,2241,0.353,2514,0,1294,0.006,2326,
Ferrels,J. W.,1,1290,1,2506,1,2508,0.353,2515,0,1295,0.004,2554,
Ferrier,G.,1,1291,2,2230,2,2242,0.375,2197,0,1296,0.006,2327,
Fethy,,1,1292,5,1489,5,1508,0.413,1205,0,1297,0.041,892,
Fichelle,,1,1293,2,2231,2,2243,0.399,1833,0,1298,0.009,2101,
Ficker,,1,1294,5,1490,5,1509,0.413,1206,0,1299,0.041,893,
Fierie,G. P.,1,1295,1,2507,1,2509,0.353,2516,0,1300,0.004,2555,
Figgis,,1,1296,3,2070,3,2080,0.356,2450,0,1301,0.006,2328,
Figueroa,Carlos Silva,1,1297,1,2508,1,2510,0.36,2410,0,1302,0.005,2419,
Fileni,,1,1298,3,2071,3,2081,0.392,2026,0,1303,0.01,1999,
Filliol,,1,1299,6,1248,6,1268,0.373,2261,0,1304,0.01,2000,
Finbert,Elias J.,1,1300,5,1492,5,1511,0.413,1207,0,1305,0.041,894,
Fischbacher,,1,1301,5,1493,5,1512,0.413,1208,0,1306,0.041,895,
Fischli,Fr.,1,1302,1,2509,1,2511,0.36,2411,0,1307,0.005,2420,
Fisher,H. A. L.,1,1303,6,1249,6,1269,0.385,2103,0,1308,0.014,1796,
Flexner ,Abraham,1,1304,4,1942,4,1957,0.37,2301,0,1310,0.006,2329,
Flitner,,1,1305,1,2510,1,2512,0.374,2226,0,1311,0.006,2330,
Flowers,R. L.,1,1306,1,2511,1,2513,0.36,2412,0,1312,0.005,2421,
Flury,Franz,1,1307,31,383,31,438,0.478,176,0,1313,0.092,275,
Foex,Georges,1,1308,2,2232,2,2244,0.368,2352,0,1314,0.008,2215,
Fogolari,Gino,1,1309,1,2512,1,2514,0.353,2517,0,1315,0.004,2556,
Folcker,Erik,1,1310,1,2513,1,2515,0.353,2518,0,1316,0.004,2557,
Fondaminski,,1,1311,5,1494,5,1513,0.413,1209,0,1318,0.041,896,
Fonseca,Pedro S.,1,1312,70,134,70,179,0.457,435,0,1319,0.15,121,
Fontaine,Arthur,1,1313,4,1943,4,1958,0.349,2698,0,1320,0.006,2331,
Ford,A. Y.,1,1314,1,2514,1,2516,0.36,2413,0,1321,0.005,2422,
Forest,Louis,1,1315,5,1495,5,1514,0.413,1210,0,1322,0.041,897,
Forgue,,1,1316,5,1496,5,1515,0.413,1211,0,1323,0.041,898,
Forin,R.,1,1317,1,2515,1,2517,0.353,2519,0,1324,0.004,2558,
Forrer,L.,1,1318,1,2516,1,2518,0.374,2227,0,1325,0.006,2332,
Forsyth,E.,1,1319,2,2233,2,2245,0.319,2826,0,1326,0.001,2814,
Fortis,Jean-Jacques,1,1320,1,2517,1,2519,0.399,1834,0,1327,0.009,2102,
Fosca,Francois,1,1321,31,384,31,439,0.459,391,0,1328,0.057,484,
Foster,George,1,1322,2,2234,2,2246,0.329,2777,0,1329,0.002,2764,
Foster Bain,H.,1,1323,5,1497,5,1516,0.361,2384,0,1330,0.007,2257,
Foti,,1,1324,26,496,26,546,0.356,2451,0,1331,0.024,1501,
Foucart,George,1,1325,2,2235,2,2247,0.375,2198,0,1332,0.006,2333,
Foulds,John,1,1326,5,1498,5,1517,0.413,1212,0,1333,0.041,899,
Fox,E. James,1,1327,8,1055,8,1088,0.399,1835,0,1334,0.018,1640,
Fraenger,Wilhelm,1,1328,1,2518,1,2520,0.399,1836,0,1335,0.009,2103,
Fragnaud,,1,1329,5,1499,5,1518,0.413,1213,0,1336,0.041,900,
Franck,,1,1330,3,2073,3,2083,0.377,2163,0,1337,0.008,2217,
Franco Franco,Tulio,1,1331,6,1250,7,1182,0.413,1214,23.2,586,0.041,901,
Francois,J. P. A.,1,1332,5,1500,5,1519,0.413,1215,0,1338,0.041,902,
François,Albert,1,1333,5,1501,5,1520,0.413,1216,0,1339,0.041,903,
Franellich,Carlo,1,1334,5,1502,5,1521,0.413,1217,0,1340,0.041,904,
Frangulis,A.,1,1335,1,2519,1,2521,0.369,2331,0,1341,0.005,2423,
Franqui,,1,1336,5,1503,5,1522,0.438,674,0,1342,0.026,1465,
Franz,Simon,1,1337,16,731,16,772,0.434,707,0,1343,0.036,1312,
Fraudhardt,Fred,1,1338,2,2236,2,2248,0.268,2861,0,1344,0,2855,
Frazer,James,1,1339,5,1504,5,1523,0.413,1218,0,1345,0.041,905,
Frederiksen,O. J. O.,1,1340,14,805,14,836,0.393,1987,0,1346,0.017,1699,
Freer,Percy,1,1341,5,1505,5,1524,0.413,1219,0,1347,0.041,906,
Freire d'Andrade,,1,1342,11,902,11,929,0.397,1928,0,1348,0.016,1733,
Freund,L.,1,1343,27,459,27,510,0.429,775,0,1349,0.031,1378,
Frick,E. A.,1,1344,4,1944,4,1959,0.419,948,0,1350,0.018,1641,
Frick,R. O.,1,1345,1,2520,1,2522,0.353,2520,0,1351,0.004,2559,
Friedlander,Max,1,1346,15,769,16,773,0.455,481,0,1352,0.041,907,
Friedlander,Lilian M.,1,1347,5,1506,5,1525,0.413,1220,0,1353,0.041,908,
Friedlender,Otto,1,1348,3,2074,3,2084,0.406,1668,0,1354,0.013,1854,
Friedrich,Gustav,1,1349,27,460,27,511,0.429,776,0,1355,0.031,1379,
